symbol,timestamp,open,high,low,close,volume,last_updated
BNBUSDT,2026-06-28T00:59:59.999000+00:00,557.19000000,558.48000000,556.85000000,557.87000000,1728.57000000,2026-08-04T23:16:05.031329+00:00
BNBUSDT,2026-06-28T01:59:59.999000+00:00,557.88000000,558.31000000,556.46000000,558.03000000,1371.05800000,2026-08-04T23:16:05.031376+00:00
BNBUSDT,2026-06-28T02:59:59.999000+00:00,558.03000000,558.80000000,556.78000000,557.57000000,1711.57000000,2026-08-04T23:16:05.031425+00:00
BNBUSDT,2026-06-28T03:59:59.999000+00:00,557.56000000,558.85000000,557.56000000,558.74000000,1056.06400000,2026-08-04T23:16:05.031471+00:00
BNBUSDT,2026-06-28T04:59:59.999000+00:00,558.74000000,558.74000000,556.78000000,556.92000000,1374.68100000,2026-08-04T23:16:05.031516+00:00
BNBUSDT,2026-06-28T05:59:59.999000+00:00,556.92000000,557.30000000,554.66000000,556.05000000,2517.44000000,2026-08-04T23:16:05.031561+00:00
BNBUSDT,2026-06-28T06:59:59.999000+00:00,556.06000000,556.37000000,554.03000000,554.94000000,2802.62400000,2026-08-04T23:16:05.031605+00:00
BNBUSDT,2026-06-28T07:59:59.999000+00:00,554.94000000,556.80000000,554.93000000,556.45000000,2072.33300000,2026-08-04T23:16:05.031652+00:00
BNBUSDT,2026-06-28T08:59:59.999000+00:00,556.46000000,558.89000000,555.30000000,557.37000000,2768.92400000,2026-08-04T23:16:05.031696+00:00
BNBUSDT,2026-06-28T09:59:59.999000+00:00,557.40000000,558.03000000,555.16000000,555.25000000,3901.51000000,2026-08-04T23:16:05.031739+00:00
BNBUSDT,2026-06-28T10:59:59.999000+00:00,555.26000000,556.24000000,554.35000000,555.16000000,2385.57900000,2026-08-04T23:16:05.031783+00:00
BNBUSDT,2026-06-28T11:59:59.999000+00:00,555.17000000,557.41000000,555.02000000,557.29000000,5715.84300000,2026-08-04T23:16:05.031826+00:00
BNBUSDT,2026-06-28T12:59:59.999000+00:00,557.29000000,558.00000000,555.50000000,556.63000000,2741.00000000,2026-08-04T23:16:05.031869+00:00
BNBUSDT,2026-06-28T13:59:59.999000+00:00,556.63000000,556.71000000,554.14000000,555.28000000,2921.33200000,2026-08-04T23:16:05.031913+00:00
BNBUSDT,2026-06-28T14:59:59.999000+00:00,555.28000000,557.09000000,554.94000000,554.95000000,2670.95600000,2026-08-04T23:16:05.031956+00:00
BNBUSDT,2026-06-28T15:59:59.999000+00:00,554.95000000,556.09000000,553.80000000,554.55000000,2687.26400000,2026-08-04T23:16:05.031999+00:00
BNBUSDT,2026-06-28T16:59:59.999000+00:00,554.56000000,554.84000000,551.48000000,552.42000000,3221.49500000,2026-08-04T23:16:05.032042+00:00
BNBUSDT,2026-06-28T17:59:59.999000+00:00,552.42000000,553.43000000,550.00000000,551.98000000,3946.31600000,2026-08-04T23:16:05.032085+00:00
BNBUSDT,2026-06-28T18:59:59.999000+00:00,551.98000000,553.94000000,551.32000000,553.86000000,2314.49300000,2026-08-04T23:16:05.032128+00:00
BNBUSDT,2026-06-28T19:59:59.999000+00:00,553.86000000,553.86000000,547.23000000,548.45000000,7821.89700000,2026-08-04T23:16:05.032171+00:00
BNBUSDT,2026-06-28T20:59:59.999000+00:00,548.44000000,555.28000000,548.33000000,550.10000000,9253.37100000,2026-08-04T23:16:05.032213+00:00
BNBUSDT,2026-06-28T21:59:59.999000+00:00,550.10000000,551.67000000,548.44000000,548.94000000,1368.30800000,2026-08-04T23:16:05.032256+00:00
BNBUSDT,2026-06-28T22:59:59.999000+00:00,548.94000000,553.13000000,545.62000000,547.29000000,5020.20600000,2026-08-04T23:16:05.032299+00:00
BNBUSDT,2026-06-28T23:59:59.999000+00:00,547.28000000,553.26000000,546.90000000,551.07000000,3495.02300000,2026-08-04T23:16:05.032342+00:00
